Index,Question,A,B,C,D,answer
1,Which of the following sentences is NOT correct?,The two fishermen were waiting for the tide to come in.,The fisherman by the pier and the fisherman on the sea wall was waiting for the tide to come in.,Harry and Jerome were waiting for the tide to come in.,"Jerome was waiting patiently for the tide to come in, but Harry was feeling impatient.",2
2,Which of the following sentences is NOT correct?,Which of the two actors are in the film?,Which of the two actors is in the film?,Which actor is in the film?,Which actors are in the film?,1
3,"...... he hadn't considered applying in the past, a job at the stadium now seemed very enticing.",However,Therefore,Although,Despite,3
4,"'...... too young to remember this,' sighed Uncle Ivan, 'but ...... Auntie Elise was once an opera singer.'","Your, you're","Your, your","You're, you're","You're, your",4
5,"Despite ...... chosen for the team, Raoul preferred playing computer games to spending time training.",he was,having been,was,been,2
6,...... too quiet outside: ...... almost as if the road and all ...... traffic have disappeared.,"It's, it's, its","It's, its, its","It's, it's, it's","Its, its, it's",1
7,Which of the following is NOT correct?,Bill and I took a walk by the river this morning.,We took a walk by the river this morning.,Me and Bill took a walk by the river this morning.,He and I took a walk by the river this morning.,3
8,"...... the mess she had just made of her bedroom, Stephanie's offer to tidy the kitchen seemed somewhat suspect.",Despite,"Consequently,",Because,Given,4
9,"The most devastating natural disaster in a century, ....................................................................",the wildfires led to the area declared a state of emergency,the wildfires led to the area being declared a state of emergency,the area was declared a state of emergency after the wildfires,the area was soon declared a state of emergency after the wildfires,2
10,"Almost dropping from exhaustion, .........................................................",Maria decided that her first night shift might well be her last,thought Maria her first night shift was also her last,Maria's first night shift made her think it would be her last,Maria's first night shift might have been her last,1
11,What is 25 degree Celsius in Fahrenheit to the nearest whole number?,13 F,51 F,77 F,103 F,3
12,Find accelration of the body if a force of 1000 N acts on a body of mass 10 kg. ,1000 m/s2,0.001 m/s2,100 m/s2,Insufficient information,3
13,"If 2(x+4) = 6x-16 , what is x?",6,8,-6,-8,2
14,The green pigment in plant cells is called:,Chlorophyll,Verde,Formaldehyde,Alcohol,1
15,"T-cells, B-cells, macrophages, and platelets are all part of the ___________ system",Circulatory,Digestive,Immune,Endocrine,3
16,Which organ breaks apart and grinds up food that enters it from the mouth via the esophagus?,kidney,small intestine,liver,stomach,4
17,Which of the following connects two bones in a joint?,cartilage,ligament,muscle,tendon,2
18,Fish breathe through ________.,Gills,Ears,Nose,Heart,1
19,Which type of blood vessel carries oxygenated blood away from the heart to all of the body's tissues?,podocytes,capillaries,arteries,veins,3
20,What type of behavior is exhibited by a plant when it bends towards the light?,anger,thirst,negative phototropism,positive phototropism,4
21,What is the first stage of development after fertilization of an egg?,blastula,zygote,baby,embryo,2
22,What does a eukaryotic cell have that a prokaryotic cell is missing?,nucleus,cytoplasm,vacuoles,mitochondria,1
23,Which of the following contains instructions for all living things?,Lipids,DNA,RNA,DNA and RNA,4
24,A person with type A blood can receive a transfusion from a person with which blood type(s)?,Type O only,Type A only,Type B only,Type A and O,4
25,"Compared to cells, viruses do NOT have:",a nucleus,organelles,cell membrane,all of the above,4
26,"If a copper wire is increased to double its length, its resistance will become",double,one fourth,four times,half,1
