Index,Question,A,B,C,D,answer
1,The code in The Matrix comes from what food recipes?,Sushi recipes,Dumpling recipes,Stir-fry recipes,Pad thai recipes,1
2,What?s the name of Meatloaf?s character in The Rocky Horror Picture Show?,Henry,Eddie,Chuck,Al,2
3,Who actually drew the sketch of Rose in Titanic?,Leonardo DiCaprio,Billy Zane,James Cameron,Kathy Bates,3
4,Who voices Joy in Pixar?s Inside Out?,Tina Fey,Kathryn Hahn,Ellen DeGeneres,Amy Poehler,4
5,Where were The Lord of the Rings movies filmed?,Ireland,Iceland,New Zealand,Australia,3
6,Which country does Forrest Gump travel to as part of the All-American Ping-Pong Team?,Vietnam,China,Sweden,France,2
7,Which famous Pulp Fiction scene was filmed backward?,Vincent and Mia?s dance scene,Mia?s overdose scene,The royale with cheese scene,The Ezekiel 25:17 scene,2
8,"Which actor was in the following movies: The Outsiders, Wayne?s World, and Tommy Boy?",Tom Cruise,Matt Dillon,Rob Lowe,Thomas Howell,3
9,Who was the first Black person to win an Oscar?,Hattie McDaniel,Sidney Poitier,Dorothy Dandridge,James Earl Jones,1
10,Which is not the name of a child selected to tour the Wonka factory in Willy Wonka and the Chocolate Factory?,Billy Warp,Veruca Salt,Mike Teavee,Charlie Bucket,1
11,Freddy Krueger wears a striped sweater that is which colors?,Red and blue,Orange and green,Red and green,Orange and brown,3
12,Who did the cat in The Godfather belong to?,Francis Ford Coppola,Diane Keaton,Al Pachino,No one?the cat was a stray,4
13,What is the name of the fictional land where Frozen takes place?,Arendelle,Naples,Florin,Grimm,1
14,What score did Elle Woods get on her LSAT in Legally Blonde?,155,166,170,179,4
15,Which movie is this famous line from: ?I wish I knew how to quit you.?,Love Actually,How to Lose a Guy in 10 Days,Brokeback Mountain,The Notebook ,3
16,What was the top-grossing movie of 2014?,The Hunger Games: Mockingjay Part 1,The Lego Movie,Captain America: The Winter Soldier ,Guardians of the Galaxy,4
17,How old was Stockard Channing when she played high school student Rizzo in Grease?,27,33,35,20,2
18,Who directed the hit 2017 movie Get Out?,James Wan,Jordan Peele,Guillermo del Toro,Tim Story,2
19,"If you watch the Marvel movies in chronological order, which movie would you watch first?",Iron Man,Captain America: The First Avenger,Doctor Strange,Captain Marvel,2
