Index,Question,A,B,C,D,answer
1,Which one is the worlds smallest ocean,Indian,Pacific,Atlantic,Arctic,4
2,Which crop is sown on the largest area in India?,Rice,Wheat,Sugarcane,Maize,1
3,Entomology is the science that studies,Behaviour of human beings,Insects,The origin and history of technical and scientific terms,The formation of rocks,2
4,"Grand Central Terminal, Park Avenue, New York is the world's",highest railway station,longest railway station,largest railway station,None of the above,3
5,Galileo was an astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All the above.,2
6,Corey Anderson who has hit the fastest ODI century in 36 balls is from,England,Australia,West Indies,New Zealand,4
7,Who among the following were contemporaries of Kanishka?,"Kamban, Banabhatta, Asvagosha","Nagarjuna, Asvagosha, Vasumitra","Asvagosha, Kalidasa, Banabhatta","Kalidasa, Kamban, Vasumitra",2
8,The world's smallest country is,Canada,Russia,Maldives,Vatican City,4
9,Novak Djokovic is a famous player associated with the game of,Hockey,Football,Chess,Lawn Tennis,4
10,Areas of which of the following current states did not come under control of Vijayanagar emperor Krishnadeva Raya?,Kerala,Tamil Nadu,Odisha,Maharashtra,4
11,Which one of the following was the first fort constructed by the British in India?,Fort William,Fort St. George,Fort St. David,Fort St. Angelo,2
12,Which country below is not one of the members of the UN security council (Jan 2003)?,Germany,France,China,USA,1
13,What is the second largest country (in size) in the world?,Canada,USA,China,Russia,1
14,Which language is spoken in Karnataka?,Marathi,Hindi,Malayalam,Kannada,4
15,Ball pen function on which one of the following principal?,Boyle?s law,Gravitational force,Surface tension,Viscosity,3
16,The state which has the largest number of sugar mills in India is,Bihar,Haryana,Punjab,Uttar Pradesh,4
17,The currency notes are printed in,New Delhi,Nasik,Nagpur,Bombay,2
18,Which of the following countries is not a part of Melanesia region in the pacific ocean?,Vanuatu,Solomon Islands,Fiji,Kiribati,4
19,Which country has recently joined Euro Zone as the 18th member?,Latvia,Lithuania,Estonia,None of the above,1
20,"The Indian, who holds the pride of beating the computers in mathematical wizard is:",Shakuntala Devi,Raja Ramanna,Ramanujam,Rina Panigrahi,1
21,For which of the following disciplines is Nobel Prize awarded?,"Literature, Peace and Economics",Physics and Chemistry,Physiology or Medicine,All of the above,4
22,What is the world's most common religion?,Hinduism,Christianity,Buddhism,Muslim,2
23,' Global 500 ' awards are given for the outstanding achievement in which of the following fields,Elimination of illiteracy,Protection of environment,campaign against drugs,Population Control,2
24,Durand Cup is associated with the game of,Cricket,Football,Hockey,Volleyball,2
25,Who was the Prime Minister of India when the 42nd Amendment Bill bringing in the changes in the Constitution was passed?,Lal Bahadur Shastri,Indira Gandhi,V.P.Singh,Rajiv Gandhi,2
26,"The common elements of ""NIFE"" layer of the earth include",Silicon and Magnesium,Nickel and Iron,Silver and Tungsten,Silicon and Aluminium,2
27,"A new cheaper, quicker and pollution-free 'soil-to-soil technology' to manufacture 'biofuel' has been developed by researchers at",IIT-Gandhinagar,IIT-Jamshedpur,IIT-Kanpur,IIT-Kharagpur,4
28,"The Defence Research Development Organisation (DRDO) has developed a drug named, 'Lukoskin'. It is being used in the treatment of",Leukorrhea,Lung Cancer,Leucoderma,Leukemia,3
29,Pedology is the science related to the study of,atmosphere,soil,pollutants,seeds,2
30,Who is the president of the Council of Scientific and Industrial Research?,President of India,Vice-President of India,Prime Minister of India,Union Minister of Science and Technology,3
31,India's first satellite Aryabhata was launched from,Soviet Union,America,India,Israel,1
32,Google and NASA have joined hands to identify which two new planets around distant stars?,"Kepler 80g, Kepler 90i","Kepler 90g, Kepler 80i","Kepler 81g, Kepler 90i","Kepler 90i, Kepler 82g",1
33,Which project is a joint venture of India and France?,Maitri Missile Project,Nuclear missile project,Cog missile project,InFra missile project,1
34,The optimum dissolved oxygen level (in mg/litre) required for survival of aquatic organisms is,04-Jun,02-Apr,08-Oct,Dec-16,1
35,Which country developed Julang-2 ballistic missile?,U.K.,Nepal,China,Malaysia,3
36,"Which country successfully launched a Long March 3B rocket, carrying two Beidou-3MEO satellites: Beidou-30 and Beidou-31?",Japan,Canada,Sweden,China,4
37,What are the main objectives of Nano Science and Technology,Human Resource Development,International collaboration and orchestrating national dialogues,Both (i) and (ii),Neither (i) nor (ii),3
38,"The Mars Orbiter Mission (MOM), informally called is India?s first Mars orbiter.",NISAR,Mangalyam,IRNSS,GSLV ? D,2
39,ISRO was formed in ????,1963,1969,1972,1985,2
40,Angle of friction and angle of repose are,equal to each other,not equal to each other,proportional to each other,None of the above,1
41,Solar power generates electricity from what source?,The Sun,Soil,Water,Fire,1
42,The first Indian Satellite Aryabhatta was launched in,1974,1975,1976,1977,2
43,The first high-level programming was ........,COBOL,FORTRAN,LISP,Pascal,2
44,Who developed the World?s first water-based computer along with his team?,Nitya Anand,Harish Chandra,Anna Mani,Manu Prakash,4
45,Which of these are planetary storms?,Jupiter's Great Red Spot,Sun's Solar Flares,Saturn's Great White Storm,Both a and c,4
46,Which country doesn't have a full-fledged global navigation system?,Italy,Germany,Kenya,France,2
47,Which has to Send First Mission To Study 'Heart' Of Mars?,Blue Origin,NASA,ISRO,SpaceX,2
48,The Department of Scientific and Industrial Research (DSIR) was set up in:,1982,1983,1984,1985,4
49,What does the abbreviation WWW stand for?,World Wide Web,World World Web,World Wide World,World Web Web,1
50,Which country in the world has a maximum number of robots working?,Japan,America,India,Indonesia,1
51,In which year did IT Act came into force in India?,1995,2000,2004,2008,2
52,Who invented Aeroplane,J. Robert Oppenheimer,Kirkpatrick Macmillan,Wallace Carothers,Orville & Wilbur Wright,4
53,Who invented the internet?,Robert E. Kahn and Vint Cerf,Philip Diehl,William Sturgeon,Frederick Banting,1
54,Who invented the FM radio?,Edwin Howard Armstrong,Edward Henrik Armstrong,Louis Theroux,Adam Anter,1
55,Penicillin was discovered by,Alexender Flemming,J. Gutenberg,Sir Frank Whittle,James Watt,1
56,Which famous inventor worked at a patent office?,Nikola Tesla,Thomas Edison,Albert Einstein,Shakespear,3
57,Who invented the telephone?,J.L Baird,Alexander Graham Bell,Marconi,James Dewar,2
58,Who invented the railway engine?,Charles Babbage,Isaac Newton,James Watt,George Stephenson,4
59,Who invented polio vaccine (oral)?,Albert Sabin,Burkholder,Luise Pasture,Jonas Salk,1
60,What scientist discovered the radioactive element radium?,Isaac Newton,Albert Einstein,Benjamin Franklin,Marie Curie,4
61,Who among the following invented the Email?,Ralph H. Baer,Vint Cerf,Steve Jobs,Shiva Ayyadurai,4
62,Who invented the Typewriter?,Francois-Louis Cailler,William A Burt,Gottfried Kirk Christiansen,W. F. Cooke,2
63,What country is also known as Persia,Iran,Iran,Istambul,Mozambique,1
64,What name is given to the northeast part of China?,Manchuria,Beijing,Chinovu,Bachavu,1
65,Which of the following countries are separated by the Strait of Gibraltar?,Portugal and Morocco,Algeria and Spain,Morroco and Spain,Algeria and Portugal,3
66,The Great Victoria Desert is located in,Canada,West Africa,Australia,North America,3
67,Which of the following concept related to the limit beyond stars suffer internal collapse?,Chandrasekhar limit,Eddington limit,Hoyle limit,Fowler limit,1
68,"In India, the ports are categorized as major and non-major ports. Which one of the following is a non-major port?",Kochi (Cochin),Dahej,Paradip,New Mangalore,2
69,Ceylon is the former name of what country,India,Sri Lanka,Pakistan,Myanmar,2
70,"The latitudinal differences in pressure delineate a number of major pressure zones, which correspond with",zones of climate,zones of oceans,zones of land,zones of cyclonic depressions,1
71,What is the surface temperature of Sun in Kelvin,6000,6214,5778,7194,3
72,The ?Ninety East Ridge? is a submarine volcanic ridge located in __,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,3
73,The ?Big Bang Theory? is related to which of the following?,Continental Drift,Origin of Universe,Origin of Himalayas,Eruption of Volcanoes,2
74,"In India, which one of the following States has the largest inland saline wetland?",Gujarat,Haryana,Madhya Pradesh,Rajasthan,4
75,"Which of the following is known as ""White Coal"" due to environmental friendly",Thermal Power,Atomic - Electricity,Water Supply,None Of These,3
76,Which one of the following is the greatest circle?,Arctic Circle,Equator,Tropic of Cancer,Tropic of Capricorn,2
77,Where is ?Ground Zero?,Greenwich,New York,Indira Point,Shriharikota,2
78,"On 14 August 2014, which among the following World?s Greatest Project has turned 100 years of construction?",Hudson Dam,Panama Canal,Suez Canal,Nicaragua Canal,2
79,"The Turpan Depression, the third lowest point on Earth is located in which of the following Asian countries?",Bangladesh,Sri Lanka,China,Bhutan,3
80,Suez Canal connects,The Pacific Ocean and the Atlantic Ocean,The Mediterranean Sea and the Red Sea,Lake Huron and Lake Erie,Lake Erie and Lake Ontario,2
81,What is the diameter of earth?,"10,226","13,990","12,742","18,527",3
82,Which one is the largest and highest plateau in the world?,Colorado Plateau,Antarctic Plateau,Tibetan Plateau,Deoasai Plains,3
83,Which is the brightest star outside the Solar System,Sirius,Proxima Centauri,Alpha Centauri,Beta Centaury,1
84,?Rad-cliff line? is a boundary line between,India and Bangladesh,India and Bhutan,India and China,India and Pakistan,4
85,How many minutes for each degree of longitude does the local time of any place vary from the Greenwich time?,Two minutes,Four minutes,Six minutes,Eight minutes,2
86,Which among the following has the world's largest reserves of Uranium?,Australia,Canada,Russian Federation,USA,1
87,?Macintosh? an Operating System is a product of,Microsoft,Apple,Intel,Google,2
88,The improvement of computer hardware theory is summarized by which law.?,Metcalf's law,Bill's Law,Moore's First Law,Grove's law,3
89,_______ is the application of investigation and analysis techniques to gather and preserve evidence from a particular computing device in a way that is suitable for presentation in a court of law.,Robotics,Animation,Simulation,Computer Forensics,4
