Index,Question,A,B,C,D,answer
1,What kind of book is a Nebula Award given for?,Romance,Science fiction,Drama,Poetry,2
2,How many chapters are in the Qur?an?,114,118,99,101,1
3,Which of these writers often deals with the experience of Indian immigrants in the United States?,Rabindranath Tagore,Zadie Smith,Salman Rushdie,Jhumpa Lahiri,4
4,"Which of these literary movements was concerned with clear, direct expression?",dadaism,neoclassicism,imagism,surrealism,3
5,"What describes the borogoves in ""Jabberwocky""?",slithy,mimsy,sneezy,droopy,2
6,Which of these is not part of the Vedas?,Dhammapada,Aranyakas,Brahmanas,Upanishads,1
7,Which historical event does Charles Dickens?s novel A Tale of Two Cities concern?,the Russian Revolution,the American Revolution,the Chinese Revolution,the French Revolution,4
8,In which century did science fiction become a major type of writing?,19th,18th,20th,21st,3
9,Who coined the term abstract poem?,Arthur Symons,Edith Sitwell,Elizabeth Barrett Browning,Thomas Cooper,2
10,Which Japanese literary prize is awarded semiannually for the best work of fiction by a new or rising author?,Akutagawa Prize,Noma Prize,Tanizaki Prize,Dazai Osamu Prize,1
11,Which literary and artistic movement originated with a group of French poets in the late 19th century?,Romanticism,New Formalism,Modernism,Symbolism,4
12,Which prize is awarded to the most distinguished American picture book for children?,Carnegie Medal,Frost Medal,Caldecott Medal,Newbery Medal,3
13,For which work did Thornton Wilder win Pulitzer Prize for drama in 1938?,"""Infancy""","""Our Town""","""Childhood""","""The Matchmaker""",2
14,Which of these Indian drama treatises deals with all aspects of classical Sanskrit theatre?,Natyashastra,Dharmashastra,Purushartha,Arthashastra,1
15,Name the American journalist who created the genre known as gonzo journalism.,Walter Cronkite,Christiane Amanpour,Peter Jennings,Hunter S. Thompson,4
16,Which British novelist created the iconic character James Bond?,Agatha Christie,Alan Moore,Ian Fleming,J. R. R. Tolkien,3
17,Which English poetry group of the mid-17th-century sided with King Charles I against the parliament?,Black Mountain poets,Cavalier poets,Beat poets,Metaphysical poets,2
18,Who was the author of the Greek epic poem Argonautica?,Apollonius of Rhodes,Callimachus,Xenophon,Philitas of Cos,1
19,Who won the Prix Goncourt for Les Mandarins?,Mary Wollstonecraft,Virginia Woolf,Germaine Greer,Simone de Beauvoir,4
20,Which of the following words reflects the character's name to their personality or occupation?,Pseudonym,Oronym,Aptronym,Charactonym,3
21,Which American literary awards honors African American writers and illustrators of outstanding books for children or young adults?,Caine Prize,Coretta Scott King Book Awards,Golden Baobab Prize,Spur Award,2
22,Pip is the main character of which book by Charles Dickens?,"""Great Expectations""","""David Copperfield""","""Hard Times""","""Dombey and Son""",1
23,Which novel by Charles Dickens tells the story of the Jarndyce family?,David Copperfield,Little Dorrit,Hard Times,Bleak House,4
24,"Which Shakespearean play features the characters Bianca, Cassio and Iago?",Hamlet,King Lear,Othello,Romeo and Juliet,3
