Index,Question,A,B,C,D,answer
1,Where is it thought that the banjo originated?,Coolsville,Africa,Bangladesh,New York City,2
2,What was Buddy Holly?s backup band called?,the Crickets,the Beatles,the Grasshoppers,the Bugs,1
3,Which of the following instruments does not employ valves to change pitch?,flute,flugelhorn,trumpet,trombone,4
4,"What does the name ""ukulele"" mean in Hawaiian?",small bug fiddle,small guitar,jumping flea,island banjo,3
5,Which of these is not a true horn?,cornet,English horn,trombone,French horn,2
6,"n Greek mythology, from what was the first lyre constructed?",a turtle shell,thin air,a gourd,twigs and resin,1
7,What was the name of the Who?s second rock opera?,Hair,Pat Garrett and Billy the Kid,All That Jazz,Quadrophenia,4
8,"Who was known as the ""King of Swing""?",Gene Krupa,Elvis Presley,Benny Goodman,Louis Armstrong,3
9,Which of these musical movements did Ludwig van Beethoven help introduce?,idealism,Romanticism,lyricism,Classicism,2
10,Which of these bands was led by a singer from Africa?,Queen,Jonas Brothers,the Beatles,the Who,1
11,Name the person who replaced Ozzy Osbourne as Black Sabbath ?s lead singer?,Whitesnake,Dokken,Judas Priest,Ronnie James Dio,4
12,To consider a band as a Big Band what is the minimum number of musicians to be needed?,12,11,10,9,3
13,Bjork was lead singer of what Icelandic band before pursuing a solo career?,Kukl,The Sugarcubes,The Elgar sisters,Cocteau Twins,2
14,"In an Orchestra, which is the largest brass section instrument?",Tuba,French horns,Tenor,Trumpet,1
15,Name the singer who released the album Alf?,Christopher Maurice,Michael Joseph Jackson,Aretha Louise Franklin,Alison Moyet,4
16,"Name the singer who released the album, Here, My Dear?",Frankie Gaye,Bruno Mars,Marvin Gaye,Elton John,3
17,Puff the Magic Dragon lives in which place,Bristol,Hanalei,Asgard,Neverland,2
18,"A tribute to David Bowie?s ex-wife was given with a song by The Rolling stones, name the song?",?Angie?,?Satisfaction?,?Gimme Shelter?,?Wild Horses?,1
19,Name the blues great who was born Ellas Otha Bates?,Chuck Berry,Muddy Waters,Little Richard,Bo Diddley,4
20,Name the band having its name after a scientist from the movie Barbarella?,Tears for fears,Nile Rodgers,Duran Duran,A Ha,3
21,Name the orchestral instrument that can play high note?,Viola,Violin,Piccolo,Cellos,2
22,Name the all-time bestselling movie soundtrack?,The Bodyguard: Original Soundtrack Album,Waiting to exhale,My love is your love,I have nothing,1
23,The most played song on American radio during the 20th century was?,"""Soul and Inspiration""","""Danger Zone""","""Just Once in My Life""","""You?ve Lost That Loving Feeling""",4
24,Name the musical director of the New York Philharmonic from 1958 to 1970?,Jaap Van zweden,Alan Gilbert,Leonard Bernstein,Kurt Masur,3
25,"The Clawhammer is a playing style associated with an instrument, what is it?",Ukulele,Banjo,Mandolin,Fiddle,2
26,"The 2001, Grammy Award for Best New Artist was won by whom?",Amy Winehouse,Sam Smith,Meghan Trainor,Alessia Cara,1
27,Who recorded ?Groove is in the Heart??,The B-52?s,Technotronic,Q-Tip,Deee-Lite,4
28,The lead singer of Evanescence is?,Ben Moody, Lzzy Hale,Amy Lee,Jen Majura,3
29,"Among the following, name the musical group that had the 1967 Top 10 single, ?I Think We?re Alone Now??",The Turtles,Tommy James and the Shondells,The Troggs,The Rascals,2
30,The musical composition ?Rhapsody in Blue was written by whom?,George Gershwin,Claude Debussy,Cole Porter,Leonard Bernstein,1
31,What does a spectrum mean?,Matchstick,Showel,Stick,Guitar pick,4
32,Name the former Victoria Secret model appeared in the Guns N? Roses videos ?Don?t Cry? and ?November Rain??,Peter M Brant,Karen Mulder,Stephanie Seymour,Christy Turlington,3
33,Mariah Carey got married to whom in the year 1993,Benny Medina,Tommy Mottola,James Packer,Nick Cannon,2
34,The oldest member of the Spice Girl is?,Geri Halliwell,Mel B,Victoria Beckham,Emma Bunton,1
35,The number of strings on a Ukulele is?,3,8,6,4,4
36,?My Sharona? was recorded by which band?,Ramones,AC/DC,The Knack,Judas priest,3
37,Name the lead singer born Farrokh Bulsara?,Jim Hutton,Freddie Mercury,Rami Malek,Brian May,2
38,The guitarist known as Slowhand is?,Eric Clapton,Jimmy Page,Jeff Beck,B.B King,1
39,"Among the following, what was the first name of Ritchie Valens? high school sweetheart whom he wrote a song for?",Largest Bamba,Come on Let?s Go,We belong together,Donna,4
40,Marimba means ________ .,Laggutu,Txalaparta,Bass xylophone,Balafon,3
41,The first hispanic to be inducted into the Rock and Roll Hall of Fame is whom?,Cindy Blackman,Carlos Santana,Rob Thomas,John Lee Hooker,2
42,The Mothers of Invention backed up whom?,Frank Zappa,Don Preston,Jimmy Carl Black,Ray Collins,1
43,Name the first person to appear on the cover of the Rolling stones magazine?,Tom Petty,Richard Gere,Peter Bowes,John Lennon,4
44,Who had the first country music album to top the U.S. Pop Album charts?,Jerry Lee,Bob Dylan,Johnny Cash,Waylon Jennings,3
45,A member of the Rolling stones to have a number one hit as a solo artist is?,Ted Kennedy,Bill Wyman,Pete Townshend,Jackson Brownie,2
46,Among the following name the hymn written by John Newton?,?Amazing Grace?,"""Rock of Ages""","""Holy Holy Holy""","""Ave Maria""",1
47,"Picasso?s Last Words? were included in an album by Wings,name it?",Wild Life,Wings over America,Venus and the Mars,Band on the Run,4
48,"The Father of the String Quartet, is _______ .",Felix Mendelssohn,Franz Schubert,Joseph Haydn,Wolfgang,3
49,Name the oldest member of The Jackson 5?,Michael Jackson,Jackie Jackson,Randy Jackson,Jermaine Jackson,2
50,"Thirty Seconds Over Winterland, is an album, name the band which released this?",Jefferson Airplane,Rolling stones,The Beatles,Today,1
51,"Which Indian singer was rewarded the Best National Singer Award, National Film Award and 6 Film fare Awards as well as endowed with Padma Shri award in 1967 by the Indian Government?",Anupam Amod,Rashid Ali,Lucky Ali,Mohammad Rafi,4
52,"He is a singer from India who rose to recognition for singing in the year 1986 in the film Naam, in which his song ""Chitthi Aayee Hai"" turned out to be an immediate hit.",Vishal Bhardwaj,Krishna Beura,Pankaj Udhas,Uday Benegal,3
53,He has an in-house studio called the Panchathan Record Inn. ,Sonu Nigam,A. R. Rahman ,Javed Akhtar ,Armaan Malik ,2
