Index,Question,A,B,C,D,answer
1,Where are the Whitsunday Islands located?,Malaysia,Vietnam,Philippines,Australia,4
2,Which of these countries ISN?T landlocked?,Nepal,Turkey,Armenia,Austria,2
3,The Spanish Steps (seen below) are found in which city?,Rome,Barcelona,Madrid,Lisbon,1
4,How many provinces are there in Canada?,5,10,20,30,2
5,Which two countries in South America are the Iguazu Falls part of?,Ethiopia and Kenya,Switzerland and Italy,Brazil and Argentina,Tanzania and Zambia,3
6,Which of these is NOT a South Africa national park?,Addo Elephant Park,Kruger National Park,Table Mountain National Park,Goreme National Park,4
7,The Aruba Caribbean island is a territory of which European country?,Oman,Netherlands,Finland,Croatia,2
8,Where in Africa are the famous trees? (Avenue of the Baobabs),Australia,Turkey,Madagascar,Kenya,3
9,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Halifax,3
10,Hanoi is the capital of which country?,Cambodia,Laos,Thailand,Vietnam,4
11,Where in Asia is this famous place? (The Chocolate Hills),Pakistan,Colombia,Japan,Philippines,4
12,Which of these is the tallest?,"The Shard, London","Tokyo Skytree, Tokyo","Burj Khalifa, Dubai","Ostankino Tower, Moscow",3
13,Which of these cities ISN?T in New Zealand?,Canberra,Wellington,Queenstown,Auckland,1
14,Which superhero movie was Niagara Falls used in?,Batman,Gladiator,Fast and the Furious,Superman II,4
15,How many countries connect to the Austrian border?,4,8,12,15,2
16,Where in Europe are these famous lakes? (Plitvice Lakes National Park),France,Switzerland,Croatia,Czech Republic,3
17,LOT is the national airline of which European country?,Italy,Latvia,China,Poland,4
18,The Baltic States refer to which countries?,"Iceland, Norway, UK","Poland, Czech Republic, Austria","Estonia, Latvia, Lithuania","Croatia, Slovenia, Italy",3
19,Bohemian Switzerland National Park is in which country?,Germany,Netherlands,Czech Republic,France,3
20,Final question ? How high is Mount Everest?,6648,8848,6758,8758,2
21,Which Indian hill station in India is known as the ?Queen of the Hills??,Mussoorie,Darjeeling,Shimla,Shillong,1
22,Which Indian state is famous for boating activities on its backwaters?,Kerala,Karnataka,Jammu and Kashmir,Odisha,1
23,Which is the tallest Himalayan mountain in the Indian territory?,Mount Everest,Mount Godwin Austen (K2),Kanchenjunga,Nanga Parbat,3
24,I am home to India?s largest museum. Which city am I?,Bangalore,New Delhi,Mumbai,Kolkata,4
